web-scraper-order,web-scraper-start-url,chord_root,chord_root-href,chord_name,chord_name-href,variations
"1692050159-1","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#min7b5


View G#min7b5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/min7b5","<h3 class=""font-dinish text-24"">G#min7b5 Variation 1</h3><div class=""frets""><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div><div class=""fret"">14</div><div class=""fret"">15</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-2 chord-click"">1</div><div class=""chord-fret-2 chord-string-3 chord-click"">3</div><div class=""chord-fret-1 chord-string-4 chord-click"">2</div><div class=""chord-fret-2 chord-string-5 chord-click"">4</div></div></div>"
"1692050159-2","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#min7b5


View G#min7b5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/min7b5","<h3 class=""font-dinish text-24"">G#min7b5 Variation 2</h3><div class=""frets""><div class=""fret"">3</div><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-2 chord-string-3 chord-click"">2</div><div class=""chord-fret-2 chord-string-4 chord-click"">3</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div><div class=""chord-fret-2 chord-string-6 chord-click"">4</div></div></div>"
"1692050159-3","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#min7b5


View G#min7b5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/min7b5","<h3 class=""font-dinish text-24"">G#min7b5 Variation 3</h3><div class=""frets""><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div><div class=""fret"">10</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-2 chord-string-4 chord-click"">3</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">3</div></div></div>"
"1692050159-4","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#min7b5


View G#min7b5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/min7b5","<h3 class=""font-dinish text-24"">G#min7b5 Variation 4</h3><div class=""frets""><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div><div class=""fret"">10</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-2 chord-string-4 chord-click"">3</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">3</div></div></div>"
"1692050159-5","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#min7b5


View G#min7b5

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/min7b5","<h3 class=""font-dinish text-24"">G#min7b5 Variation 5</h3><div class=""frets""><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div><div class=""fret"">9</div><div class=""fret"">10</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-2 chord-string-4 chord-click"">3</div><div class=""chord-fret-2 chord-string-5 chord-click"">3</div><div class=""chord-fret-2 chord-string-6 chord-click"">3</div></div></div>"
"1692050162-6","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor9


View G#minor9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor9","<h3 class=""font-dinish text-24"">G#minor9 Variation 1</h3><div class=""frets""><div class=""fret"">9</div><div class=""fret"">10</div><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-2 chord-click"">2</div><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-3 chord-string-5 chord-click"">3</div></div></div>"
"1692050162-7","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor9


View G#minor9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor9","<h3 class=""font-dinish text-24"">G#minor9 Variation 2</h3><div class=""frets""><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div><div class=""fret"">14</div><div class=""fret"">15</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-1 chord-string-2 chord-click"">1</div><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-5 chord-string-4 chord-click"">4</div><div class=""chord-fret-2 chord-string-5 chord-click"">2</div></div></div>"
"1692050162-8","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor9


View G#minor9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor9","<h3 class=""font-dinish text-24"">G#minor9 Variation 3</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div><div class=""chord-fret-3 chord-string-6 chord-click"">4</div></div></div>"
"1692050162-9","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor9


View G#minor9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor9","<h3 class=""font-dinish text-24"">G#minor9 Variation 4</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div><div class=""chord-fret-3 chord-string-6 chord-click"">4</div></div></div>"
"1692050162-10","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor9


View G#minor9

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor9","<h3 class=""font-dinish text-24"">G#minor9 Variation 5</h3><div class=""frets""><div class=""fret"">4</div><div class=""fret"">5</div><div class=""fret"">6</div><div class=""fret"">7</div><div class=""fret"">8</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-3 chord-click"">3</div><div class=""chord-fret-1 chord-string-4 chord-click"">1</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div><div class=""chord-fret-3 chord-string-6 chord-click"">4</div></div></div>"
"1692050165-11","https://www.guitartricks.com/chords","G#
G# chord","https://www.guitartricks.com/chords/Gsharp-chord","G#minor6


View G#minor6

chord chart","https://www.guitartricks.com/chords/Gsharp-chord/minor6","<h3 class=""font-dinish text-24"">G#minor6 Variation 1</h3><div class=""frets""><div class=""fret"">9</div><div class=""fret"">10</div><div class=""fret"">11</div><div class=""fret"">12</div><div class=""fret"">13</div></div><div class=""chords""><div class=""chords-header""><div class=""chord-cell"">x</div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell""></div><div class=""chord-cell"">x</div></div><div class=""chords-grid""><div class=""chord-fret-3 chord-string-2 chord-click"">4</div><div class=""chord-fret-1 chord-string-3 chord-click"">1</div><div class=""chord-fret-2 chord-string-4 chord-click"">3</div><div class=""chord-fret-1 chord-string-5 chord-click"">1</div></div></div>"
